playerFirstName,playerLastName,playerId,age,seasonId,shoots,playerPositionCode,playerTeamsPlayedFor,gamesPlayed,goals,assists,shots,plusMinus,penaltyMinutes,timeOnIcePerGame,shiftsPerGame,
Max,McCormick,8476323,24.1095890411,20152016,L,R,OTT,20,2.4369421072,2.4369421072,37,-4,37,627.5,14.75,
Kurtis,Gabriel,8476545,23.1397260274,20152016,R,R,MIN,3,0.0,0.0,1,1,10,269.6666,6.6666,
Darnell,Nurse,8477498,21.3452054795,20152016,L,D,EDM,69,3.6554131608,8.5292973752,120,-13,60,1213.8405,25.6956,
Ryan,Johansen,8475793,23.8602739726,20152016,R,C,CBJ|NSH,80,17.0585947504,56.0496684656,185,6,61,1053.7625,21.8125,
Jakub,Kindl,8471693,29.3342465753,20152016,L,D,DET|FLA,44,2.4369421072,7.3108263216,63,13,18,923.3863,21.2954,
Jack,Johnson,8471677,29.4109589041,20152016,L,D,CBJ,60,7.3108263216,9.7477684288,86,-16,25,1450.5166,28.05,
Viktor,Arvidsson,8478042,23.1726027397,20152016,R,L,NSH,56,9.7477684288,9.7477684288,139,-8,35,744.0714,16.9642,
Klas,Dahlbeck,8476403,24.9315068493,20152016,L,D,ARI,71,2.4369421072,7.3108263216,64,-5,28,943.9718,23.2535,
Sam,Bennett,8477935,19.9698630137,20152016,L,C,CGY,77,21.9324789648,21.9324789648,136,-11,37,908.7662,21.3246,
Joffrey,Lupul,8470207,32.7205479452,20152016,R,L,TOR,46,13.4031815896,3.6554131608,102,-10,12,877.2608,21.3043,
Taylor,Hall,8475791,24.5726027397,20152016,L,L,EDM,82,31.6802473936,47.5203710904,286,-4,54,1152.256,23.9146,
Tyler,Wotherspoon,8476452,23.2465753425,20152016,L,D,CGY,11,0.0,1.2184710536,9,0,0,850.1818,19.0909,
Chris,Wideman,8475227,26.4246575342,20152016,R,D,OTT,64,7.3108263216,8.5292973752,87,4,34,837.0156,19.1406,
Emerson,Etem,8475770,23.9835616438,20152016,L,R,NYR|VAN,58,8.5292973752,9.7477684288,100,-12,11,789.0,17.8448,
James,Neal,8471707,28.7726027397,20152016,L,R,NSH,82,37.7726026616,32.8987184472,268,27,65,1144.2804,23.5487,
Francois,Beauchemin,8467400,36.0246575342,20152016,L,D,COL,82,9.7477684288,31.6802473936,127,-7,38,1504.7926,29.2439,
Thomas,Hickey,8474066,27.3369863014,20152016,L,D,NYI,62,7.3108263216,14.6216526432,55,9,30,1044.2741,22.3064,
Mason,Raymond,8471664,30.7342465753,20152016,L,L,CGY,29,4.8738842144,1.2184710536,53,-3,8,740.4827,18.1379,
Eric,Nystrom,8470180,33.3260273973,20152016,L,L,NSH,46,8.5292973752,0.0,27,-6,20,689.0,17.0869,
Mike,Angelidis,8471916,30.9589041096,20152016,L,L,TBL,4,1.2184710536,0.0,1,2,5,540.0,12.75,
Ondrej,Palat,8476292,25.2054794521,20152016,L,L,TBL,62,19.4955368576,29.2433052864,117,10,20,1075.1451,21.5322,
Patrick,Brown,8477887,24.0328767123,20152016,R,C,CAR,7,1.2184710536,1.2184710536,8,4,4,756.2857,18.1428,
Noel,Acciari,8478569,24.5260273973,20152016,R,C,BOS,19,0.0,1.2184710536,18,-4,8,593.5263,14.6315,
Kyle,Baun,8478393,24.101369863,20152016,R,R,CHI,2,0.0,0.0,1,-2,0,543.0,12.0,
